Essential,4,18
Luxury,9,1
Essential,11,3
Essential,4,0
Essential,1,18
Utility,6,9
Essential,19,4
Utility,16,13
Luxury,7,8
Utility,18,4
Luxury,19,9
Essential,7,19
Utility,17,15
Utility,11,16
Utility,18,16
Essential,8,1
Essential,12,17
Essential,6,16
Utility,9,2
Luxury,10,9
Luxury,1,2
Essential,16,2
Essential,12,19
Essential,2,4
Essential,17,17
Essential,12,6
Luxury,12,5
Utility,12,5
Luxury,17,9
Luxury,11,15
Essential,7,3
Luxury,16,6
Essential,15,1
Luxury,3,7
Essential,9,5
Essential,12,16
Luxury,18,9
Luxury,13,4
Essential,12,15
Essential,15,8
Utility,14,10
Essential,9,15
Luxury,13,11
Utility,18,11
Luxury,4,15
Luxury,4,4
Essential,3,13
Luxury,16,10
Essential,2,11
Essential,1,8
