siapszyacv,5,8,9677,3,null,single
wnpfdldogy,4,1,6203,0,null,single
fywvrmthns,0,9,8751,3,null,single
jhporlkaia,4,2,8317,8,null,single
kkpqirimon,9,2,7322,2,null,single
beyzeyumfu,8,6,2337,0,null,single
mewfgclprd,3,1,6298,3,null,single
hjhznkyyqe,0,4,6400,8,null,single
lzjjugnyxl,2,2,2911,9,null,single
wrqdxucbka,1,8,2802,5,null,single
jdbriiorss,7,4,5998,7,null,single
vgmogwoyul,2,7,8403,0,null,single
ecsssvwyfs,5,2,7152,6,null,single
nvwtlknvur,4,6,9641,3,null,single
zhuzijzljg,7,4,2737,5,null,single
